Pessoa_ID,Tempo de Casa Categoria Python
1,1. Menos de 6 meses
2,3. 1 Ano
3,3. 1 Ano
4,1. Menos de 6 meses
5,1. Menos de 6 meses
6,1. Menos de 6 meses
7,6. 4 Anos
8,2. Mais de 6 meses
9,3. 1 Ano
10,5. 3 Anos
11,3. 1 Ano
12,3. 1 Ano
13,3. 1 Ano
14,2. Mais de 6 meses
15,2. Mais de 6 meses
16,3. 1 Ano
17,1. Menos de 6 meses
18,4. 2 Anos
19,3. 1 Ano
20,5. 3 Anos
21,5. 3 Anos
22,4. 2 Anos
23,4. 2 Anos
24,2. Mais de 6 meses
25,3. 1 Ano
26,3. 1 Ano
27,3. 1 Ano
28,2. Mais de 6 meses
29,1. Menos de 6 meses
30,3. 1 Ano
31,3. 1 Ano
32,3. 1 Ano
33,2. Mais de 6 meses
34,2. Mais de 6 meses
35,3. 1 Ano
36,4. 2 Anos
37,3. 1 Ano
38,4. 2 Anos
39,2. Mais de 6 meses
40,5. 3 Anos
41,4. 2 Anos
42,5. 3 Anos
43,2. Mais de 6 meses
44,5. 3 Anos
45,1. Menos de 6 meses
46,4. 2 Anos
47,2. Mais de 6 meses
48,4. 2 Anos
49,2. Mais de 6 meses
50,1. Menos de 6 meses
51,1. Menos de 6 meses
52,1. Menos de 6 meses
53,1. Menos de 6 meses
54,1. Menos de 6 meses
55,1. Menos de 6 meses
56,3. 1 Ano
57,1. Menos de 6 meses
58,1. Menos de 6 meses
59,5. 3 Anos
60,5. 3 Anos
61,2. Mais de 6 meses
62,5. 3 Anos
63,6. 4 Anos
64,3. 1 Ano
65,4. 2 Anos
66,3. 1 Ano
67,2. Mais de 6 meses
68,3. 1 Ano
69,3. 1 Ano
70,3. 1 Ano
71,3. 1 Ano
72,1. Menos de 6 meses
73,5. 3 Anos
74,3. 1 Ano
75,3. 1 Ano
76,3. 1 Ano
77,5. 3 Anos
78,4. 2 Anos
79,3. 1 Ano
80,4. 2 Anos
81,3. 1 Ano
82,2. Mais de 6 meses
83,3. 1 Ano
84,3. 1 Ano
85,4. 2 Anos
86,3. 1 Ano
87,3. 1 Ano
88,2. Mais de 6 meses
89,3. 1 Ano
90,1. Menos de 6 meses
91,5. 3 Anos
92,3. 1 Ano
93,2. Mais de 6 meses
94,1. Menos de 6 meses
95,4. 2 Anos
96,1. Menos de 6 meses
97,5. 3 Anos
98,3. 1 Ano
99,1. Menos de 6 meses
100,1. Menos de 6 meses
101,3. 1 Ano
102,5. 3 Anos
103,3. 1 Ano
104,3. 1 Ano
105,2. Mais de 6 meses
106,3. 1 Ano
107,4. 2 Anos
108,4. 2 Anos
109,3. 1 Ano
110,3. 1 Ano
111,1. Menos de 6 meses
112,1. Menos de 6 meses
113,5. 3 Anos
114,3. 1 Ano
115,4. 2 Anos
116,3. 1 Ano
117,4. 2 Anos
118,3. 1 Ano
119,3. 1 Ano
120,1. Menos de 6 meses
121,1. Menos de 6 meses
122,3. 1 Ano
123,2. Mais de 6 meses
124,1. Menos de 6 meses
125,1. Menos de 6 meses
126,1. Menos de 6 meses
127,1. Menos de 6 meses
128,1. Menos de 6 meses
129,5. 3 Anos
130,3. 1 Ano
131,3. 1 Ano
132,3. 1 Ano
133,3. 1 Ano
134,1. Menos de 6 meses
135,1. Menos de 6 meses
136,3. 1 Ano
137,3. 1 Ano
138,1. Menos de 6 meses
139,3. 1 Ano
140,1. Menos de 6 meses
141,3. 1 Ano
142,3. 1 Ano
143,2. Mais de 6 meses
144,1. Menos de 6 meses
145,4. 2 Anos
146,2. Mais de 6 meses
147,1. Menos de 6 meses
148,5. 3 Anos
149,5. 3 Anos
150,3. 1 Ano
151,1. Menos de 6 meses
152,2. Mais de 6 meses
153,3. 1 Ano
154,1. Menos de 6 meses
155,4. 2 Anos
156,3. 1 Ano
157,2. Mais de 6 meses
158,1. Menos de 6 meses
159,2. Mais de 6 meses
160,1. Menos de 6 meses
161,5. 3 Anos
162,6. 4 Anos
163,5. 3 Anos
164,3. 1 Ano
165,3. 1 Ano
166,4. 2 Anos
167,3. 1 Ano
168,3. 1 Ano
169,2. Mais de 6 meses
170,3. 1 Ano
171,1. Menos de 6 meses
172,3. 1 Ano
173,1. Menos de 6 meses
174,3. 1 Ano
175,1. Menos de 6 meses
176,3. 1 Ano
177,2. Mais de 6 meses
178,3. 1 Ano
179,1. Menos de 6 meses
180,2. Mais de 6 meses
181,1. Menos de 6 meses
182,1. Menos de 6 meses
183,1. Menos de 6 meses
184,2. Mais de 6 meses
185,1. Menos de 6 meses
186,2. Mais de 6 meses
187,3. 1 Ano
188,3. 1 Ano
189,1. Menos de 6 meses
190,5. 3 Anos
191,3. 1 Ano
192,3. 1 Ano
193,3. 1 Ano
194,3. 1 Ano
195,3. 1 Ano
196,2. Mais de 6 meses
197,2. Mais de 6 meses
198,3. 1 Ano
199,1. Menos de 6 meses
200,2. Mais de 6 meses
201,3. 1 Ano
202,6. 4 Anos
203,1. Menos de 6 meses
204,4. 2 Anos
205,4. 2 Anos
206,4. 2 Anos
207,1. Menos de 6 meses
208,4. 2 Anos
209,4. 2 Anos
210,2. Mais de 6 meses
211,5. 3 Anos
212,3. 1 Ano
213,1. Menos de 6 meses
214,4. 2 Anos
215,1. Menos de 6 meses
216,3. 1 Ano
217,6. 4 Anos
218,1. Menos de 6 meses
219,2. Mais de 6 meses
220,2. Mais de 6 meses
221,2. Mais de 6 meses
222,1. Menos de 6 meses
223,1. Menos de 6 meses
224,1. Menos de 6 meses
225,2. Mais de 6 meses
226,1. Menos de 6 meses
227,1. Menos de 6 meses
228,5. 3 Anos
229,1. Menos de 6 meses
230,1. Menos de 6 meses
231,1. Menos de 6 meses
232,1. Menos de 6 meses
233,1. Menos de 6 meses
234,4. 2 Anos
235,1. Menos de 6 meses
236,2. Mais de 6 meses
237,2. Mais de 6 meses
238,1. Menos de 6 meses
239,6. 4 Anos
240,2. Mais de 6 meses
241,1. Menos de 6 meses
242,1. Menos de 6 meses
243,5. 3 Anos
244,3. 1 Ano
245,2. Mais de 6 meses
246,1. Menos de 6 meses
247,1. Menos de 6 meses
248,6. 4 Anos
249,4. 2 Anos
250,3. 1 Ano
251,2. Mais de 6 meses
252,1. Menos de 6 meses
253,1. Menos de 6 meses
254,1. Menos de 6 meses
255,3. 1 Ano
256,1. Menos de 6 meses
257,2. Mais de 6 meses
258,4. 2 Anos
259,1. Menos de 6 meses
260,2. Mais de 6 meses
261,1. Menos de 6 meses
262,4. 2 Anos
263,1. Menos de 6 meses
264,6. 4 Anos
265,3. 1 Ano
266,1. Menos de 6 meses
267,1. Menos de 6 meses
268,1. Menos de 6 meses
269,2. Mais de 6 meses
270,3. 1 Ano
271,4. 2 Anos
272,2. Mais de 6 meses
273,1. Menos de 6 meses
274,4. 2 Anos
275,1. Menos de 6 meses
276,4. 2 Anos
277,4. 2 Anos
278,1. Menos de 6 meses
279,1. Menos de 6 meses
280,1. Menos de 6 meses
281,4. 2 Anos
282,1. Menos de 6 meses
283,2. Mais de 6 meses
284,1. Menos de 6 meses
285,4. 2 Anos
286,4. 2 Anos
287,3. 1 Ano
288,3. 1 Ano
289,1. Menos de 6 meses
290,3. 1 Ano
291,2. Mais de 6 meses
292,1. Menos de 6 meses
293,4. 2 Anos
294,4. 2 Anos
295,1. Menos de 6 meses
296,1. Menos de 6 meses
297,1. Menos de 6 meses
298,2. Mais de 6 meses
299,2. Mais de 6 meses
300,1. Menos de 6 meses
301,2. Mais de 6 meses
302,4. 2 Anos
303,5. 3 Anos
304,2. Mais de 6 meses
305,1. Menos de 6 meses
306,3. 1 Ano
307,2. Mais de 6 meses
308,6. 4 Anos
309,3. 1 Ano
310,1. Menos de 6 meses
311,6. 4 Anos
312,4. 2 Anos
313,1. Menos de 6 meses
314,1. Menos de 6 meses
315,3. 1 Ano
316,1. Menos de 6 meses
317,3. 1 Ano
318,3. 1 Ano
319,6. 4 Anos
320,6. 4 Anos
321,1. Menos de 6 meses
322,1. Menos de 6 meses
323,4. 2 Anos
324,2. Mais de 6 meses
325,4. 2 Anos
326,1. Menos de 6 meses
327,1. Menos de 6 meses
328,2. Mais de 6 meses
329,2. Mais de 6 meses
330,1. Menos de 6 meses
331,1. Menos de 6 meses
332,1. Menos de 6 meses
333,1. Menos de 6 meses
334,6. 4 Anos
335,2. Mais de 6 meses
336,2. Mais de 6 meses
337,1. Menos de 6 meses
338,2. Mais de 6 meses
339,1. Menos de 6 meses
340,6. 4 Anos
341,1. Menos de 6 meses
342,4. 2 Anos
343,1. Menos de 6 meses
344,3. 1 Ano
345,1. Menos de 6 meses
346,2. Mais de 6 meses
347,4. 2 Anos
348,4. 2 Anos
349,1. Menos de 6 meses
350,4. 2 Anos
351,1. Menos de 6 meses
352,2. Mais de 6 meses
353,3. 1 Ano
354,1. Menos de 6 meses
355,1. Menos de 6 meses
356,2. Mais de 6 meses
357,3. 1 Ano
358,3. 1 Ano
359,1. Menos de 6 meses
360,2. Mais de 6 meses
361,2. Mais de 6 meses
